COUNTRY: Mauritania, POPULATION: 4649658, AREA: 1030, DENSITY: 4514.23
COUNTRY: Bahrain, POPULATION: 1701575, AREA: 760, DENSITY: 2238.91
COUNTRY: Bangladesh, POPULATION: 164689383, AREA: 130170, DENSITY: 1265.19
COUNTRY: Barbados, POPULATION: 287375, AREA: 430, DENSITY: 668.31
COUNTRY: Comoros, POPULATION: 869601, AREA: 1861, DENSITY: 467.28
COUNTRY: Burundi, POPULATION: 11890784, AREA: 25680, DENSITY: 463.04
COUNTRY: Belgium, POPULATION: 11589623, AREA: 30280, DENSITY: 382.75
COUNTRY: Antigua and Barbuda, POPULATION: 97929, AREA: 440, DENSITY: 222.57
COUNTRY: Andorra, POPULATION: 77265, AREA: 470, DENSITY: 164.39
COUNTRY: China, POPULATION: 1439323776, AREA: 9388211, DENSITY: 153.31
COUNTRY: Czechia (Czech Republic), POPULATION: 10708981, AREA: 77240, DENSITY: 138.65
COUNTRY: Denmark, POPULATION: 5792202, AREA: 42430, DENSITY: 136.51
COUNTRY: Cyprus, POPULATION: 1207359, AREA: 9240, DENSITY: 130.67
COUNTRY: Azerbaijan, POPULATION: 10139177, AREA: 82658, DENSITY: 122.66
COUNTRY: Austria, POPULATION: 9006398, AREA: 82409, DENSITY: 109.29
COUNTRY: Benin, POPULATION: 12123200, AREA: 112760, DENSITY: 107.51
COUNTRY: Cuba, POPULATION: 11326616, AREA: 106440, DENSITY: 106.41
COUNTRY: Albania, POPULATION: 2877797, AREA: 27400, DENSITY: 105.03
COUNTRY: Armenia, POPULATION: 2963243, AREA: 28470, DENSITY: 104.08
COUNTRY: Costa Rica, POPULATION: 5094118, AREA: 51060, DENSITY: 99.77
COUNTRY: Dominica, POPULATION: 71986, AREA: 750, DENSITY: 95.98
COUNTRY: Cambodia, POPULATION: 16718965, AREA: 176520, DENSITY: 94.71
COUNTRY: Brunei, POPULATION: 437479, AREA: 5270, DENSITY: 83.01
COUNTRY: Burkina Faso, POPULATION: 20903273, AREA: 273600, DENSITY: 76.4
COUNTRY: Croatia, POPULATION: 4105267, AREA: 55960, DENSITY: 73.36
COUNTRY: Bosnia and Herzegovina, POPULATION: 3280819, AREA: 51000, DENSITY: 64.33
COUNTRY: Bulgaria, POPULATION: 6948445, AREA: 108560, DENSITY: 64.01
COUNTRY: Afghanistan, POPULATION: 38928346, AREA: 652860, DENSITY: 59.63
COUNTRY: Cameroon, POPULATION: 26545863, AREA: 472710, DENSITY: 56.16
COUNTRY: Belarus, POPULATION: 9449323, AREA: 202910, DENSITY: 46.57
COUNTRY: Colombia, POPULATION: 50882891, AREA: 1109500, DENSITY: 45.86
COUNTRY: Djibouti, POPULATION: 988000, AREA: 23180, DENSITY: 42.62
COUNTRY: Democratic Republic of the Congo, POPULATION: 89561403, AREA: 2267050, DENSITY: 39.51
COUNTRY: Bahamas, POPULATION: 393244, AREA: 10010, DENSITY: 39.29
COUNTRY: Angola, POPULATION: 32866272, AREA: 1246700, DENSITY: 26.36
COUNTRY: Chile, POPULATION: 19116201, AREA: 743532, DENSITY: 25.71
COUNTRY: Brazil, POPULATION: 212559417, AREA: 8358140, DENSITY: 25.43
COUNTRY: Bhutan, POPULATION: 771608, AREA: 38117, DENSITY: 20.24
COUNTRY: Algeria, POPULATION: 43851044, AREA: 2381740, DENSITY: 18.41
COUNTRY: Belize, POPULATION: 397628, AREA: 22810, DENSITY: 17.43
COUNTRY: Argentina, POPULATION: 45195774, AREA: 2736690, DENSITY: 16.51
COUNTRY: Congo (Congo-Brazzaville), POPULATION: 5518087, AREA: 341500, DENSITY: 16.16
COUNTRY: Chad, POPULATION: 16425864, AREA: 1259200, DENSITY: 13.04
COUNTRY: Bolivia, POPULATION: 11673021, AREA: 1083300, DENSITY: 10.78
COUNTRY: Central African Republic, POPULATION: 4829767, AREA: 622980, DENSITY: 7.75
COUNTRY: Botswana, POPULATION: 2351627, AREA: 566730, DENSITY: 4.15
COUNTRY: Australia, POPULATION: 25499884, AREA: 7682300, DENSITY: 3.32
COUNTRY: Côte, POPULATION: NaN, AREA: 26378274, DENSITY: NaN
COUNTRY: Cabo, POPULATION: NaN, AREA: 555987, DENSITY: NaN
COUNTRY: Gabon, POPULATION: 2225734, AREA: 257, DENSITY: 8660.44
COUNTRY: Kazakhstan, POPULATION: 18776707, AREA: 2699, DENSITY: 6956.91
COUNTRY: Guyana, POPULATION: 786552, AREA: 196, DENSITY: 4013.02
COUNTRY: Libya, POPULATION: 6871292, AREA: 1759, DENSITY: 3906.36
COUNTRY: Suriname, POPULATION: 586632, AREA: 156, DENSITY: 3760.46
COUNTRY: Iceland, POPULATION: 341243, AREA: 100, DENSITY: 3412.43
COUNTRY: Namibia, POPULATION: 2540905, AREA: 823, DENSITY: 3087.37
COUNTRY: Mongolia, POPULATION: 3278290, AREA: 1553, DENSITY: 2110.94
COUNTRY: Palestine State, POPULATION: 5101414, AREA: 6020, DENSITY: 847.41
COUNTRY: Micronesia, POPULATION: 548914, AREA: 700, DENSITY: 784.16
COUNTRY: Lebanon, POPULATION: 6825445, AREA: 10230, DENSITY: 667.2
COUNTRY: Mauritius, POPULATION: 1271768, AREA: 2030, DENSITY: 626.49
COUNTRY: San Marino, POPULATION: 33931, AREA: 60, DENSITY: 565.52
COUNTRY: Nauru, POPULATION: 10824, AREA: 20, DENSITY: 541.2
COUNTRY: South Korea, POPULATION: 51269185, AREA: 97230, DENSITY: 527.3
COUNTRY: Rwanda, POPULATION: 12952218, AREA: 24670, DENSITY: 525.02
COUNTRY: Netherlands, POPULATION: 17134872, AREA: 33720, DENSITY: 508.15
COUNTRY: India, POPULATION: 1380004385, AREA: 2973190, DENSITY: 464.15
COUNTRY: Haiti, POPULATION: 11402528, AREA: 27560, DENSITY: 413.73
